FromLeft FROMLEFT;
FromRight FROMRIGHT;
ToLeft TOLEFT;
ToRight TORIGHT;
PreDir <null>;
PreType <null>;
StreetName STREETNAME;
StreetType <null>;
SufDir <null>;
LocationText LA;
LeftCityCode CITYCODE;
RightCityCode CITYCODE;
LeftZip L_ZIPCODE;
RightZip R_ZIPCODE;
lzLeft LZ;
lzRight LZ;
laLeft <null>;
laRight <null>;
lrLeft <null>;
lrRight <null>;
lsLeft <null>;
lsRight <null>;
fzLeft <null>;
fzRight <null>;
faLeft <null>;
faRight <null>;
frLeft <null>;
frRight <null>;
fsLeft <null>;
fsRight <null>;
ezLeft <null>;
ezRight <null>;
eaLeft <null>;
eaRight <null>;
erLeft <null>;
erRight <null>;
esLeft <null>;
esRight <null>;
mzLeft <null>;
mzRight <null>;
maLeft MA;
maRight MA;
mrLeft <null>;
mrRight <null>;
msLeft <null>;
msRight <null>;
JoinID OBJECTID
